state,Total Population,Under 10 years old,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 years and over
NY,9821711.0,1167906.0,620488.0,370896.0,262216.0,126759.0,130547.0,390953.0,729035.0,720471.0,659448.0,605366.0,615581.0,659776.0,681239.0,267243.0,362000.0,219972.0,285419.0,390320.0,556076.0
NC,5067666.0,623937.0,346840.0,205862.0,149415.0,75757.0,72123.0,207157.0,349482.0,331260.0,322991.0,319992.0,333766.0,335228.0,334348.0,130571.0,182769.0,111197.0,152382.0,213682.0,268907.0
ND,397093.0,54386.0,26311.0,13946.0,12303.0,7410.0,6719.0,18368.0,31539.0,30118.0,27044.0,23421.0,20631.0,21242.0,24678.0,10046.0,14052.0,8879.0,11118.0,13927.0,20955.0
OH,5800004.0,718503.0,390216.0,237370.0,160350.0,82591.0,80146.0,216779.0,396670.0,379784.0,366942.0,348988.0,359621.0,378153.0,406591.0,162675.0,223058.0,141530.0,180457.0,242949.0,326631.0
OK,1964927.0,265699.0,142822.0,82948.0,56394.0,30094.0,30494.0,79928.0,137961.0,133570.0,133185.0,121560.0,116899.0,114796.0,123793.0,48019.0,69455.0,41054.0,55825.0,76337.0,104094.0
OR,2096429.0,239016.0,131624.0,77796.0,51685.0,26870.0,26528.0,79537.0,148545.0,152169.0,150825.0,141669.0,134087.0,128556.0,131162.0,53285.0,79788.0,53678.0,70253.0,96150.0,123206.0
PA,6394217.0,731467.0,407426.0,247022.0,177346.0,84346.0,83252.0,239576.0,431989.0,432044.0,405658.0,378884.0,395924.0,428370.0,454771.0,184740.0,263515.0,160211.0,211100.0,280318.0,396258.0
RI,534283.0,56964.0,32137.0,19833.0,17177.0,8752.0,7522.0,22164.0,38970.0,38040.0,34822.0,30856.0,32597.0,36586.0,37411.0,15897.0,21586.0,12787.0,16622.0,22701.0,30859.0
SC,2474059.0,301503.0,167163.0,97971.0,72977.0,37659.0,36464.0,91094.0,165369.0,158839.0,154434.0,150769.0,152534.0,157870.0,163581.0,65465.0,95445.0,57954.0,83105.0,119689.0,144174.0
SD,446461.0,61553.0,31887.0,18202.0,12981.0,6103.0,6478.0,17151.0,29783.0,29735.0,31491.0,24035.0,24131.0,25160.0,28366.0,12493.0,17976.0,12406.0,13418.0,18592.0,24520.0
